,Apk,Result,Time,Mem(GB),Heuristic,#Snapshots,Mode,#Sources,#Sinks,#classes,#methods,#cg_edges,#flows,#additional flows,#missing flows,#TP,#FP,#TN,#FN,#unknown
0,com.UCMobile.intl,Exit status: 0,2:58:08,81.70377731323242,none,0,full static,16,15,24455,117794,71198,21,0,0,15,2,0,0,4
1,com.UCMobile.intl,Exit status: 0,1:59,7.621219635009766,first_only,1/69,d,2,2,24455,117788,25036,2,0,19,2,0,2,13,0
2,com.UCMobile.intl,Exit status: 0,7:21,28.044654846191406,first_only,1/69,sf,10,10,24455,117794,50383,13,1,9,12,0,2,3,1
3,com.UCMobile.intl,Exit status: 0,1:58,7.604572296142578,last_only,1/69,d,2,2,24455,117788,25477,2,0,19,2,0,2,13,0
4,com.UCMobile.intl,Exit status: 0,6:37,27.95368194580078,last_only,1/69,sf,10,9,24455,117794,48894,11,0,10,11,0,2,4,0
5,com.UCMobile.intl,Exit status: 0,3:38,17.549697875976562,activity_last,11/69,d,4,5,24455,117788,30450,5,0,16,5,0,2,10,0
6,com.UCMobile.intl,Exit status: 0,8:45,28.39086151123047,activity_last,11/69,sf,12,13,24455,117794,52723,15,0,6,15,0,2,0,0
7,com.UCMobile.intl,Exit status: 0,17:50,21.23400115966797,activity_last,11/69,i,4,5,24455,117788,27548,5,0,16,5,0,2,10,0
8,com.UCMobile.intl,Exit status: 0,10:47,28.750995635986328,action_all,69/69,d,4,5,24455,117788,31068,5,0,16,5,0,2,10,0
9,com.UCMobile.intl,Exit status: 0,16:22,29.78240966796875,action_all,69/69,sf,11,10,24455,117794,52358,13,1,9,12,0,2,3,1
10,com.UCMobile.intl,Exit status: 0,1:46:15,27.854904174804688,action_all,69/69,i,4,5,24455,117788,27312,5,0,16,5,0,2,10,0
11,com.contextlogic.wish,Exit status: 0,46:37,79.11311340332031,none,0,full static,5,10,12488,62921,41937,14,0,0,3,11,0,0,0
12,com.contextlogic.wish,Exit status: 0,1:36,8.43521499633789,first_only,1/84,d,1,1,12488,62921,18203,1,0,13,1,0,11,2,0
13,com.contextlogic.wish,Exit status: 0,43:21,77.00423431396484,first_only,1/84,sf,2,4,12488,62921,33393,5,1,10,1,3,8,2,1
14,com.contextlogic.wish,Exit status: 0,1:31,7.322460174560547,last_only,1/84,d,1,1,12488,62921,18180,1,0,13,1,0,11,2,0
15,com.contextlogic.wish,Exit status: 0,43:57,76.84452056884766,last_only,1/84,sf,2,5,12488,62921,33427,6,1,9,1,4,7,2,1
16,com.contextlogic.wish,Exit status: 0,8:17,27.9825439453125,activity_last,24/84,d,1,1,12488,62921,18281,1,0,13,1,0,11,2,0
17,com.contextlogic.wish,Exit status: 0,51:33,81.4952278137207,activity_last,24/84,sf,2,2,12488,62921,29748,2,1,13,1,0,11,2,1
18,com.contextlogic.wish,Exit status: 0,26:17,27.833946228027344,activity_last,24/84,i,1,1,12488,62921,17544,1,0,13,1,0,11,2,0
19,com.contextlogic.wish,Exit status: 0,24:59,28.732929229736328,action_all,84/84,d,1,1,12488,62921,18282,1,0,13,1,0,11,2,0
20,com.contextlogic.wish,Exit status: 0,1:05:37,77.11352157592773,action_all,84/84,sf,2,2,12488,62921,29742,2,1,13,1,0,11,2,1
21,com.contextlogic.wish,Exit status: 0,1:28:14,28.11880874633789,action_all,84/84,i,1,1,12488,62921,17591,1,0,13,1,0,11,2,0
22,com.domobile.applock,Exit status: 0,1:17:46,80.87627410888672,none,0,full static,11,15,6201,35686,21539,24,0,0,0,0,0,0,24
23,com.domobile.applock,Exit status: 0,0:38,4.577777862548828,first_only,1/55,d,10,14,6201,35685,8362,22,2,4,0,0,0,0,22
24,com.domobile.applock,Exit status: 0,1:06,6.867885589599609,first_only,1/55,sf,10,14,6201,35685,15899,24,3,3,0,0,0,0,24
25,com.domobile.applock,Exit status: 0,0:38,4.459754943847656,last_only,1/55,d,10,15,6201,35685,8408,22,2,4,0,0,0,0,22
26,com.domobile.applock,Exit status: 0,1:04,7.002510070800781,last_only,1/55,sf,10,14,6201,35685,15916,23,2,3,0,0,0,0,23
27,com.domobile.applock,Exit status: 0,4:25,27.432025909423828,activity_last,14/55,d,10,13,6201,35685,10818,22,1,3,0,0,0,0,22
28,com.domobile.applock,Exit status: 0,10:36,36.24183654785156,activity_last,14/55,sf,11,15,6201,35686,18460,23,2,3,0,0,0,0,23
29,com.domobile.applock,Exit status: 0,8:19,24.551013946533203,activity_last,14/55,i,10,14,6201,35685,8531,21,2,5,0,0,0,0,21
30,com.domobile.applock,Exit status: 0,6:53,32.965087890625,action_all,55/55,d,10,15,6201,35685,11155,23,2,3,0,0,0,0,23
31,com.domobile.applock,Exit status: 0,12:29,37.27430725097656,action_all,55/55,sf,11,13,6201,35686,18357,21,1,4,0,0,0,0,21
32,com.domobile.applock,Exit status: 0,32:59,32.520877838134766,action_all,55/55,i,10,15,6201,35685,8575,22,2,4,0,0,0,0,22
33,com.spotify.music,Exit status: 0,36:41,81.15547943115234,none,0,full static,3,4,33082,148217,50176,8,0,0,1,7,0,0,0
